en,es,vi,de,ar,ja,hi
sepsis,septicemia,nhiễm trùng huyết,Sepsis,الإنتان,敗血症,पूति
sepsis and septicaemia,sepsis y septicemia,nhiễm trùng huyết và nhiễm trùng máu,Sepsis und Septikämie,الإنتان وتسمم الدم,敗血症と敗血症性ショック,सेप्सिस और सेप्टीसीमिया
septic arthritis,artritis séptica,viêm khớp nhiễm trùng,septische Arthritis,التهاب المفاصل الإنتاني,化膿性関節炎,सेप्टिक गठिया
septoplasty,septoplastia,phẫu thuật chỉnh vách ngăn mũi,Septumplastik,عملية تجميل الحاجز الأنفي,鼻中隔形成術,सेप्टोप्लास्टी
septorhinoplasty,septorrinoplastia,phẫu thuật chỉnh hình vách ngăn mũi,Septorhinoplastik,عملية تجميل الأنف,鼻中隔形成術,सेप्टोरिनोप्लास्टी
serotonin,serotonin,serotonin,Serotonin,السيروتونين,セロトニン,सेरोटोनिन
sever's disease,enfermedad de Sever,bệnh Sever,Sever-Krankheit,مرض سيفر,セーバー病,सेवर रोग
severe acute respiratory syndrome,síndrome respiratorio agudo grave,hội chứng hô hấp cấp tính nặng,schweres akutes respiratorisches Syndrom,متلازمة تنفسية حادة وخيمة,重症急性呼吸器症候群,सीवियर एक्यूट रेस्पिरेटरी सिंड्रोम
sex and disability,sexo y discapacidad,giới tính và khuyết tật,Geschlecht und Behinderung,الجنس والإعاقة,性別と障害,लिंग और विकलांगता
sexual assault,agresión sexual,tấn công tình dục,sexueller Übergriff,الاعتداء الجنسي,性的暴行,यौन उत्पीड़न
sexual harassment,Acoso sexual,quấy rối tình dục,sexuelle Belästigung,التحرش الجنسي,性的嫌がらせ,यौन उत्पीड़न
sexual health,salud sexual,sức khỏe tình dục,sexuelle Gesundheit,الصحة الجنسية,性に関する健康,यौन स्वास्थ्य
sexual problems,problemas sexuales,vấn đề tình dục,sexuelle Probleme,مشاكل جنسية,性的な問題,यौन समस्याएं
sexually transmitted infections,infecciones de transmisión sexual,các bệnh lây truyền qua đường tình dục,sexuell übertragbare Infektionen,الأمراض المنقولة جنسياً,性感染症,यौन रूप से संक्रामित संक्रमण
shigella,shigella,bệnh lỵ,Shigella,الشيغيلا,赤痢菌,शिगेला
shin splints,periostitis tibial,đau ống chân,Schienbeinkantensyndrom,التهاب عظم الساق,脛骨過労性骨膜炎,पिंडली में दर्द
shingles,herpes,bệnh zona,Gürtelrose,هربس نطاقي,帯状疱疹,दाद
shock,choque,sốc,Schock,صدمة,ショック,झटका
shocks,choques,cú sốc,Schocks,الصدمات,衝撃,झटके
shopping addiction,adicción a las compras,nghiện mua sắm,Kaufsucht,إدمان التسوق,買い物依存症,खरीदारी की लत
short-sightedness,miopía,cận thị,Kurzsichtigkeit,قصر النظر,近視,अदूरदर्शिता
short-term care,atención a corto plazo,chăm sóc ngắn hạn,Kurzzeitpflege,الرعاية قصيرة الأجل,短期介護,अल्पकालिक देखभाल
should i be tested for heart disease?,¿Debería hacerme pruebas para detectar enfermedades cardíacas?,Tôi có nên đi xét nghiệm bệnh tim không?,Sollte ich mich auf Herzkrankheiten untersuchen lassen?,هل ينبغي عليّ الخضوع لفحص أمراض القلب؟,心臓病の検査を受けるべきでしょうか？,क्या मुझे हृदय रोग की जांच करानी चाहिए?
should i be tested for skin cancer?,¿Debería hacerme una prueba para detectar cáncer de piel?,Tôi có nên đi xét nghiệm ung thư da không?,Sollte ich mich auf Hautkrebs testen lassen?,هل ينبغي عليّ الخضوع لفحص سرطان الجلد؟,皮膚がんの検査を受けるべきでしょうか？,क्या मुझे त्वचा कैंसर की जांच करानी चाहिए?
shoulder pain,dolor de hombro,đau vai,Schulterschmerzen,ألم في الكتف,肩の痛み,कंधे में दर्द
shoulder stabilisation surgery,cirugía de estabilización del hombro,phẫu thuật ổn định khớp vai,Schulterstabilisierungsoperation,جراحة تثبيت الكتف,肩関節安定化手術,कंधे को स्थिर करने की सर्जरी
shoulder surgery,cirugía de hombro,phẫu thuật vai,Schulteroperation,جراحة الكتف,肩の手術,कंधे की सर्जरी
sick children,niños enfermos,trẻ em bị bệnh,kranke Kinder,الأطفال المرضى,病気の子供たち,बीमार बच्चे
sickle cell anaemia,anemia falciforme,bệnh thiếu máu hồng cầu hình lưỡi liềm,Sichelzellenanämie,فقر الدم المنجلي,鎌状赤血球貧血,रक्त की लाल कोशिकाओं की कमी
side effects from medicines,efectos secundarios de los medicamentos,tác dụng phụ của thuốc,Nebenwirkungen von Medikamenten,الآثار الجانبية للأدوية,薬の副作用,दवाओं के दुष्प्रभाव
signs of mental health issues,señales de problemas de salud mental,dấu hiệu của các vấn đề sức khỏe tâm thần,Anzeichen psychischer Probleme,علامات مشاكل الصحة النفسية,精神疾患の兆候,मानसिक स्वास्थ्य समस्याओं के लक्षण
sildenafil,sildenafil,sildenafil,Sildenafil,سيلدينافيل,シルデナフィル,सिल्डेनाफिल
silicosis,silicosis,bệnh bụi phổi silic,Silikose,داء السيليكا,珪肺症,सिलिकोसिस
sinusitis,sinusitis,viêm xoang,Sinusitis,التهاب الجيوب الأنفية,副鼻腔炎,साइनसाइटिस
sjögren’s syndrome,síndrome de Sjögren,hội chứng Sjögren,Sjögren-Syndrom,متلازمة شوغرن,シェーグレン症候群,सजोग्रेन सिंड्रोम
skin,piel,da,Haut,جلد,肌,त्वचा
skin cancer,cáncer de piel,ung thư da,Hautkrebs,سرطان الجلد,皮膚がん,त्वचा कैंसर
skin conditions,afecciones de la piel,các bệnh về da,Hauterkrankungen,الأمراض الجلدية,皮膚疾患,त्वचा की स्थिति
skin staph infections,infecciones cutáneas por estafilococos,nhiễm trùng tụ cầu khuẩn trên da,Hautinfektionen mit Staphylokokken,عدوى المكورات العنقودية الجلدية,皮膚ブドウ球菌感染症,त्वचा के स्टैफ संक्रमण
skin tags,etiquetas de la piel,mụn thịt trên da,Hautanhängsel,زوائد جلدية,スキンタグ,त्वचा की चिप्पी
slapped cheek syndrome,síndrome de la mejilla abofeteada,hội chứng má đỏ,Ohrfeigen-Syndrom,متلازمة الخد المصفوع,頬を叩かれたような感覚,थप्पड़ मारे गाल सिंड्रोम
sleep,dormir,ngủ,schlafen,ينام,寝る,नींद
sleep disorders,trastornos del sueño,rối loạn giấc ngủ,Schlafstörungen,اضطرابات النوم,睡眠障害,नींद संबंधी विकार
sleep paralysis,parálisis del sueño,tê liệt khi ngủ,Schlafparalyse,شلل النوم,睡眠麻痺,नींद पक्षाघात
sleep tips for children,Consejos para que los niños duerman bien,lời khuyên về giấc ngủ cho trẻ em,Schlaftipps für Kinder,نصائح نوم للأطفال,子供の睡眠に関するアドバイス,बच्चों के लिए नींद संबंधी सुझाव
sleeping pills,píldoras para dormir,thuốc ngủ,Schlafmittel,حبوب منومة,睡眠薬,नींद की गोलियां
sleepwalking,somnambulismo,mộng du,Schlafwandeln,المشي أثناء النوم,夢遊病,नींद में चलने
sleeve gastrectomy surgery,cirugía de gastrectomía en manga,phẫu thuật cắt bỏ một phần dạ dày,Schlauchmagen-Operation,جراحة تكميم المعدة,スリーブ状胃切除術,स्लीव गैस्ट्रेक्टॉमी सर्जरी
slips,resbalones,trượt,Rutschen,انزلاقات,スリップ,फिसल जाता है
smallpox,viruela,bệnh đậu mùa,Pocken,الجدري,天然痘,चेचक
smoking,de fumar,hút thuốc,Rauchen,تدخين,喫煙,धूम्रपान
smoking and vaping,fumar y vapear,hút thuốc và thuốc lá điện tử,Rauchen und Dampfen,التدخين والتبخير الإلكتروني,喫煙と電子タバコの使用,धूम्रपान और वेपिंग
snake bites,mordeduras de serpiente,vết rắn cắn,Schlangenbisse,لدغات الثعابين,ヘビに噛まれた,सांप ने काट लिया
sneezing,estornudar,hắt hơi,Niesen,العطس,くしゃみ,छींकना
social anxiety,ansiedad social,lo âu xã hội,soziale Angst,القلق الاجتماعي,社交不安,सामाजिक चिंता
social behaviour disorders,trastornos del comportamiento social,rối loạn hành vi xã hội,Störungen des Sozialverhaltens,اضطرابات السلوك الاجتماعي,社会的行動障害,सामाजिक व्यवहार विकार
social workers,trabajadores sociales,nhân viên xã hội,Sozialarbeiter,الأخصائيون الاجتماعيون,ソーシャルワーカー,सामाजिक कार्यकर्ता
sodium,sodio,natri,Natrium,الصوديوم,ナトリウム,सोडियम
soft tissue sarcoma in children,sarcoma de tejidos blandos en niños,U sarcoma mô mềm ở trẻ em,Weichteilsarkom bei Kindern,ساركوما الأنسجة الرخوة عند الأطفال,小児の軟部組織肉腫,बच्चों में नरम ऊतक सार्कोमा
