en,es,vi,ar,de,hi,ja
testicular cancer,cáncer testicular,ung thư tinh hoàn,سرطان الخصية,Hodenkrebs,शुक्र ग्रंथि का कैंसर,精巣がん
testicular torsion,torsión testicular,xoắn tinh hoàn,التواء الخصية,Hodentorsion,वृषण मरोड़,精巣捻転
testing for allergy,pruebas de alergia,xét nghiệm dị ứng,اختبار الحساسية,Allergietest,एलर्जी की जांच,アレルギー検査
testosterone,testosterona,testosterone,التستوستيرون,Testosteron,टेस्टोस्टेरोन,テストステロン
testosterone test,prueba de testosterona,xét nghiệm testosterone,اختبار التستوستيرون,Testosterontest,टेस्टोस्टेरोन परीक्षण,テストステロン検査
tetanus,tétanos,uốn ván,كُزاز,Tetanus,धनुस्तंभ,破傷風
thalassaemia,talasemia,bệnh thalassemia,الثلاسيميا,Thalassämie,थैलेसीमिया,サラセミア
the pill,la píldora,viên thuốc,حبوب منع الحمل,die Pille,गोली,ピル
the role of a nurse,El papel de una enfermera,vai trò của một y tá,دور الممرضة,die Rolle einer Krankenschwester,नर्स की भूमिका,看護師の役割
the role of public health alerts,El papel de las alertas de salud pública,vai trò của các cảnh báo y tế công cộng,دور التنبيهات الصحية العامة,die Rolle von Warnmeldungen im Bereich der öffentlichen Gesundheit,सार्वजनिक स्वास्थ्य चेतावनियों की भूमिका,公衆衛生警報の役割
the-role-of-a-dermatologist,El papel de un dermatólogo,vai trò của bác sĩ da liễu,دور طبيب الأمراض الجلدية,die Rolle eines Dermatologen,त्वचा विशेषज्ञ की भूमिका,皮膚科医の役割
thermal balloon endometrial ablation,ablación endometrial con balón térmico,đốt nội mạc tử cung bằng bóng nhiệt,استئصال بطانة الرحم بالبالون الحراري,Thermische Ballon-Endometriumablation,थर्मल बैलून एंडोमेट्रियल एब्लेशन,熱バルーン子宮内膜アブレーション
thoracoscopy,toracoscopia,nội soi lồng ngực,تنظير الصدر,Thorakoskopie,थोराकोस्कोपी,胸腔鏡検査
threadworms,gusanos intestinales,giun kim,الديدان الدبوسية,Madenwürmer,धागे के कीड़े,線虫
throat cancer,cáncer de garganta,ung thư họng,سرطان الحلق,Kehlkopfkrebs,गले का कैंसर,喉頭がん
throat diseases,enfermedades de la garganta,bệnh về họng,أمراض الحلق,Halskrankheiten,गले की बीमारियाँ,喉の病気
thrombocytopenia,trombocitopenia,giảm tiểu cầu,نقص الصفيحات,Thrombozytopenie,थ्रोम्बोसाइटोपेनिया,血小板減少症
thrush,tordo,bệnh nấm miệng,مرض القلاع,Soor,थ्रश,ツグミ
thunderstorm asthma,tormenta eléctrica asma,hen suyễn do giông bão,الربو الناتج عن العواصف الرعدية,Gewitterasthma,गरज के साथ तूफान अस्थमा,雷雨喘息
thyroid cancer,cáncer de tiroides,ung thư tuyến giáp,سرطان الغدة الدرقية,Schilddrüsenkrebs,थायराइड कैंसर,甲状腺がん
thyroid function tests,pruebas de función tiroidea,xét nghiệm chức năng tuyến giáp,اختبارات وظائف الغدة الدرقية,Schilddrüsenfunktionstests,थायरॉइड फंक्शन टेस्ट,甲状腺機能検査
thyroid gland,glándula tiroides,tuyến giáp,الغدة الدرقية,Schilddrüse,थाइरॉयड ग्रंथि,甲状腺
thyroid problems,problemas de tiroides,các vấn đề về tuyến giáp,مشاكل الغدة الدرقية,Schilddrüsenprobleme,थायरॉयड समस्याएं,甲状腺の問題
thyroidectomy,tiroidectomía,phẫu thuật cắt bỏ tuyến giáp,استئصال الغدة الدرقية,Schilddrüsenentfernung,थायरॉयडेक्टॉमी,甲状腺切除術
thyroidectomy for suspected cancer,Tiroidectomía por sospecha de cáncer,phẫu thuật cắt bỏ tuyến giáp do nghi ngờ ung thư,استئصال الغدة الدرقية للاشتباه في الإصابة بالسرطان,Schilddrüsenentfernung bei Verdacht auf Krebs,कैंसर के संदेह में थायरॉयडेक्टॉमी,癌が疑われる場合の甲状腺切除術
thyrotoxicosis,tirotoxicosis,cường giáp,فرط نشاط الغدة الدرقية,Thyreotoxikose,थायरोटोक्सीकोसिस,甲状腺中毒症
tia,tia,tia,تيا,Tia,तिया,ティア
tick bites,picaduras de garrapatas,vết cắn của ve,لدغات القراد,Zeckenbisse,टिक के काटने,ダニ刺され
tinea,tiña,nấm da,سعفة,Tinea,टिनिअ,白癬
tinnitus,"formal: tinnitus | informal: zumbido en los oídos, pitido en el oído","formal: ù tai | informal: tiếng ve kêu trong tai, tiếng ù tai","formal: طنين | informal: طنين في الأذن, وش في الأذن","formal: Tinnitus | informal: Ohrensausen, Pfeifen im Ohr","formal: कर्णक्ष्वेड | informal: कान बजना, कानों में सायं-सायं होना","formal: 耳鳴り | informal: 耳鳴り, キーンとする音"
tips for safe and responsible drinking,Consejos para beber de forma segura y responsable,lời khuyên để uống rượu an toàn và có trách nhiệm,نصائح للشرب الآمن والمسؤول,Tipps für sicheren und verantwortungsvollen Alkoholkonsum,सुरक्षित और ज़िम्मेदार तरीके से शराब पीने के लिए सुझाव,安全で責任ある飲酒のためのヒント
tissue and organ donation,Donación de tejidos y órganos,hiến tặng mô và nội tạng,التبرع بالأنسجة والأعضاء,Gewebe- und Organspende,ऊतक और अंग दान,組織および臓器提供
tmj arthroscopy,artroscopia de la ATM,nội soi khớp thái dương hàm,تنظير مفصل الفك الصدغي,Kiefergelenksarthroskopie,टीएमजे आर्थ्रोस्कोपी,顎関節鏡検査
toddlers and babies,niños pequeños y bebés,trẻ mới biết đi và trẻ sơ sinh,الأطفال الصغار والرضع,Kleinkinder und Babys,छोटे बच्चे और शिशु,幼児と赤ちゃん
toe,dedo del pie,ngón chân,اصبع القدم,Zehe,पैर की अंगुली,つま先
toe and forefoot amputation,amputación de dedos y antepié,cắt cụt ngón chân và bàn chân trước,بتر أصابع القدم ومقدمة القدم,Zehen- und Vorfußamputation,पैर की उंगली और अग्रपाद का विच्छेदन,つま先と前足部の切断
toe fracture,fractura del dedo del pie,gãy ngón chân,كسر في إصبع القدم,Zehenbruch,पैर की उंगली में फ्रैक्चर,足指の骨折
toenail infection,infección de las uñas de los pies,nhiễm trùng móng chân,عدوى أظافر القدم,Zehennagelinfektion,पैर के नाखून में संक्रमण,足の爪の感染症
toilet training,entrenamiento para ir al baño,huấn luyện đi vệ sinh,التدريب على استخدام المرحاض,Toilettentraining,शौचालय प्रशिक्षण,トイレトレーニング
tongue and mouth cuts,Cortes en la lengua y la boca,vết cắt lưỡi và miệng,جروح اللسان والفم,Zungen- und Mundverletzungen,जीभ और मुंह में कट,舌と口の切り傷
tongue-tie division,división de frenillo lingual,phân chia dính lưỡi,قسم ربط اللسان,Zungenbändchen-Abteilung,जीभ-बंधन विभाजन,舌小帯切除術
tonsil stones,cálculos amigdalinos,sỏi amidan,حصى اللوزتين,Mandelsteine,टन्सिल का पत्थर,扁桃腺結石
tonsillectomy,amigdalectomía,cắt amidan,إستئصال اللوزتين,Mandelentfernung,तोंसिल्लेक्टोमी,扁桃腺摘出術
tonsillitis,amigdalitis,viêm amiđan,التهاب اللوزتين,Mandelentzündung,टॉन्सिल्लितिस,扁桃炎
tooth abscess,absceso dental,áp xe răng,خراج الأسنان,Zahnabszess,दांत का फोड़ा,歯の膿瘍
tooth extraction,extracción dental,nhổ răng,خلع الأسنان,Zahnextraktion,दांत उखाड़ना,抜歯
toothache and gum swelling,dolor de muelas e inflamación de las encías,đau răng và sưng nướu,ألم الأسنان وتورم اللثة,Zahnschmerzen und Zahnfleischschwellung,दांत दर्द और मसूड़ों में सूजन,歯痛と歯茎の腫れ
torticollis. neck strain,tortícolis. distensión cervical,chứng vẹo cổ. căng cơ cổ,التواء الرقبة. إجهاد الرقبة,Schiefhals. Nackenverspannung.,गर्दन में खिंचाव (टॉर्टिकोलिस)।,斜頸。首の捻挫
total ankle replacement,reemplazo total de tobillo,thay khớp mắt cá chân toàn phần,استبدال كامل للكاحل,Totale Sprunggelenksersatz,कुल टखने का प्रतिस्थापन,足関節全置換術
total elbow replacement,reemplazo total de codo,thay khớp khuỷu tay toàn phần,استبدال كامل للمرفق,vollständiger Ellbogenersatz,कुल कोहनी प्रतिस्थापन,肘関節全置換術
total shoulder replacement,reemplazo total de hombro,thay khớp vai toàn phần,استبدال مفصل الكتف بالكامل,totaler Schulterersatz,कुल कंधे का प्रतिस्थापन,肩関節全置換術
